trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1981,False,"{'a': 0.5, 'e': 0.54827177902347335}",20,0,-31.251247213545458,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
1982,False,"{'a': 0.5, 'e': 0.54785356039741728}",25,0,-44.66378351133725,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
1983,False,"{'a': 0.5, 'e': 0.54743520480797392}",30,9,-14.887129335823934,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 0}",1
1984,False,"{'a': 0.5, 'e': 0.54701671235973226}",20,9,3.978532315172175,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1985,False,"{'a': 0.5, 'e': 0.54659808315731528}",20,1,-13.06030874520971,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
1986,False,"{'a': 0.5, 'e': 0.54617931730538039}",20,0,-99.15856467757233,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
1987,False,"{'a': 0.5, 'e': 0.54576041490861904}",25,8,-123.34739259216646,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 3}",1
1988,False,"{'a': 0.5, 'e': 0.54534137607175681}",20,0,-77.57431160618113,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
1989,False,"{'a': 0.5, 'e': 0.54492220089955334}",25,0,-58.93287278336252,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
1990,False,"{'a': 0.5, 'e': 0.54450288949680259}",35,23,-5.066430058442379,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
1991,False,"{'a': 0.5, 'e': 0.54408344196833225}",25,12,-46.4434777812418,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 1}",1
