trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
148,False,"{'a': 0.5, 'e': 0.98906797646024203}",20,1,-80.87092000244775,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.98892002165811177}",25,0,-102.49946517146611,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
150,False,"{'a': 0.5, 'e': 0.98877107793604224}",20,0,-129.80128847888543,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
151,False,"{'a': 0.5, 'e': 0.9886211454429773}",20,0,-174.81884851652683,"{0: 8, 1: 4, 2: 4, 3: 2, 4: 2}",0
152,False,"{'a': 0.5, 'e': 0.98847022432884923}",35,0,-128.39655643741904,"{0: 23, 1: 3, 2: 6, 3: 2, 4: 1}",0
153,False,"{'a': 0.5, 'e': 0.98831831474457921}",25,0,-180.32320400985992,"{0: 16, 1: 0, 2: 4, 3: 2, 4: 3}",0
154,False,"{'a': 0.5, 'e': 0.9881654168420767}",30,0,-117.59268173994533,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
155,False,"{'a': 0.5, 'e': 0.98801153077423987}",25,0,-132.32293112503731,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
156,False,"{'a': 0.5, 'e': 0.98785665669495448}",25,0,-141.85958241763524,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
157,False,"{'a': 0.5, 'e': 0.98770079475909478}",30,0,-279.44250733087165,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 6}",0
158,False,"{'a': 0.5, 'e': 0.98754394512252264}",20,0,-154.50293733421853,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
159,False,"{'a': 0.5, 'e': 0.98738610794208759}",20,0,-54.14295580928142,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
160,False,"{'a': 0.5, 'e': 0.98722728337562693}",25,0,-73.91221023948329,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
161,False,"{'a': 0.5, 'e': 0.98706747158196517}",25,0,-174.84196175109622,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
162,False,"{'a': 0.5, 'e': 0.98690667272091404}",20,0,-93.19865577313979,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
163,False,"{'a': 0.5, 'e': 0.98674488695327256}",25,0,-184.8260557907656,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 4}",0
164,False,"{'a': 0.5, 'e': 0.98658211444082622}",20,7,-79.29669592127732,"{0: 6, 1: 2, 2: 4, 3: 0, 4: 1}",1
165,False,"{'a': 0.5, 'e': 0.9864183553463477}",30,0,-218.62790472299423,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 3}",0
166,False,"{'a': 0.5, 'e': 0.986253609833596}",30,0,-211.31123341470953,"{0: 17, 1: 2, 2: 6, 3: 2, 4: 3}",0
167,False,"{'a': 0.5, 'e': 0.98608787806731668}",25,0,-125.09481209005592,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
168,False,"{'a': 0.5, 'e': 0.9859211602132415}",30,22,-5.3219497596480085,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.9857534564380882}",20,0,-165.24590722981696,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
170,False,"{'a': 0.5, 'e': 0.98558476690956076}",25,0,-115.39855738761142,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
171,False,"{'a': 0.5, 'e': 0.98541509179634834}",30,0,-184.54924871581954,"{0: 17, 1: 6, 2: 3, 3: 1, 4: 3}",0
172,False,"{'a': 0.5, 'e': 0.98524443126812633}",20,0,-205.38051662680147,"{0: 8, 1: 1, 2: 7, 3: 1, 4: 3}",0
173,False,"{'a': 0.5, 'e': 0.98507278549555521}",25,0,-220.28015319590213,"{0: 15, 1: 0, 2: 4, 3: 2, 4: 4}",0
174,False,"{'a': 0.5, 'e': 0.98490015465028058}",30,0,-94.49972785253648,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
175,False,"{'a': 0.5, 'e': 0.98472653890493345}",20,0,-40.19019563594285,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
176,False,"{'a': 0.5, 'e': 0.98455193843312949}",25,0,-179.81227251011165,"{0: 13, 1: 3, 2: 4, 3: 3, 4: 2}",0
177,False,"{'a': 0.5, 'e': 0.98437635340946905}",30,0,-119.6666855946106,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
178,False,"{'a': 0.5, 'e': 0.98419978400953734}",25,0,-106.56938239224891,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
179,False,"{'a': 0.5, 'e': 0.98402223040990355}",20,1,-147.71201889160096,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 4}",1
180,False,"{'a': 0.5, 'e': 0.98384369278812145}",30,0,-259.77719961390505,"{0: 16, 1: 0, 2: 8, 3: 2, 4: 4}",0
181,False,"{'a': 0.5, 'e': 0.98366417132272843}",20,0,-218.29134570301795,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 4}",0
182,False,"{'a': 0.5, 'e': 0.98348366619324612}",25,0,-115.42083460856986,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
